has_1_20_1_forge,new_file_id,new_name,new_url,new_version,old_file_id,old_name,project_id,slug,title,url
true,6945288,moreoverlays-1.24.1-mc1.20.1-forge.jar,https://www.curseforge.com/minecraft/mc-mods/more-overlays-updated/files/6945288,1.20.1,4459158,moreoverlays-1.20.11-mc1.18.2.jar,391382,,More Overlays Updated,https://www.curseforge.com/minecraft/mc-mods/more-overlays-updated
true,4640910,lemonlib-4.0.1.jar,https://www.curseforge.com/minecraft/mc-mods/lemon-lib/files/4640910,1.20.1,4640913,lemonlib-2.1.1.jar,471136,,Lemon Lib,https://www.curseforge.com/minecraft/mc-mods/lemon-lib
true,8216874,ftb-chunks-forge-2001.3.8.jar,https://www.curseforge.com/minecraft/mc-mods/ftb-chunks-forge/files/8216874,1.20.1,4494633,ftb-chunks-forge-1802.3.17-build.265.jar,314906,,FTB Chunks (NeoForge),https://www.curseforge.com/minecraft/mc-mods/ftb-chunks-forge
true,7880472,ftb-ultimine-forge-2001.1.8.jar,https://www.curseforge.com/minecraft/mc-mods/ftb-ultimine-forge/files/7880472,1.20.1,4216216,ftb-ultimine-forge-1802.3.3-build.70.jar,386134,,FTB Ultimine (NeoForge),https://www.curseforge.com/minecraft/mc-mods/ftb-ultimine-forge
true,8434133,sophisticatedcore-1.20.1-1.3.67.2148.jar,https://www.curseforge.com/minecraft/mc-mods/sophisticated-core/files/8434133,1.20.1,4668692,sophisticatedcore-1.18.2-0.5.82.393.jar,618298,,Sophisticated Core,https://www.curseforge.com/minecraft/mc-mods/sophisticated-core
false,,,,,3565298,time-in-a-bottle-2.1.0-mc1.18.1.jar,445025,,Time in a bottle standalone,https://www.curseforge.com/minecraft/mc-mods/time-in-a-bottle-standalone
true,4626171,refinedstorageaddons-0.10.0.jar,https://www.curseforge.com/minecraft/mc-mods/refined-storage-addons/files/4626171,1.20.1,3713972,refinedstorageaddons-0.8.2.jar,272302,,Refined Storage Addons,https://www.curseforge.com/minecraft/mc-mods/refined-storage-addons
true,6850495,buildinggadgets2-1.0.8.jar,https://www.curseforge.com/minecraft/mc-mods/building-gadgets/files/6850495,1.20.1,4412996,buildinggadgets-3.13.2-build.21+mc1.18.2.jar,298187,,Building Gadgets,https://www.curseforge.com/minecraft/mc-mods/building-gadgets
true,6106996,theoneprobe-1.20.1-10.0.3.jar,https://www.curseforge.com/minecraft/mc-mods/the-one-probe/files/6106996,1.20.1,3965688,theoneprobe-1.18-5.1.2.jar,245211,,The One Probe,https://www.curseforge.com/minecraft/mc-mods/the-one-probe
true,8256170,rftoolsbase-1.20-5.0.7.jar,https://www.curseforge.com/minecraft/mc-mods/rftools-base/files/8256170,1.20.1,4373521,rftoolsbase-1.18-3.0.12.jar,326041,,RFTools Base,https://www.curseforge.com/minecraft/mc-mods/rftools-base
true,4594228,tinygates-1.20-4.0.0.jar,https://www.curseforge.com/minecraft/mc-mods/tiny-gates/files/4594228,1.20.1,4360423,tinygates-2.1.1.jar,522875,,Tiny Gates,https://www.curseforge.com/minecraft/mc-mods/tiny-gates
true,4769646,PrettyPipes-1.15.0-all.jar,https://www.curseforge.com/minecraft/mc-mods/pretty-pipes/files/4769646,1.20.1,4049657,PrettyPipes-1.12.8.jar,376737,,Pretty Pipes,https://www.curseforge.com/minecraft/mc-mods/pretty-pipes
true,6602224,elevatorid-1.20.1-1.9.1-forge.jar,https://www.curseforge.com/minecraft/mc-mods/openblocks-elevator/files/6602224,1.20.1,3670034,elevatorid-1.18.2-1.8.4.jar,250832,,OpenBlocks Elevator,https://www.curseforge.com/minecraft/mc-mods/openblocks-elevator
true,5168999,ExtraStorage-1.20.1-4.0.7.jar,https://www.curseforge.com/minecraft/mc-mods/extrastorage/files/5168999,1.20.1,4312234,ExtraStorage-1.18.2-2.2.1.jar,410168,,ExtraStorage,https://www.curseforge.com/minecraft/mc-mods/extrastorage
true,8419086,jei-1.20.1-forge-15.20.0.134.jar,https://www.curseforge.com/minecraft/mc-mods/jei/files/8419086,1.20.1,4593548,jei-1.18.2-forge-10.2.1.1005.jar,238222,,Just Enough Items (JEI),https://www.curseforge.com/minecraft/mc-mods/jei
true,8404830,balm-forge-1.20.1-7.3.41-all.jar,https://www.curseforge.com/minecraft/mc-mods/balm/files/8404830,1.20.1,4442615,balm-3.2.6.jar,531761,,Balm,https://www.curseforge.com/minecraft/mc-mods/balm
true,8426836,titanium-1.20.1-3.8.35.jar,https://www.curseforge.com/minecraft/mc-mods/titanium/files/8426836,1.20.1,4484519,titanium-1.18.2-3.5.9-43.jar,287342,,Titanium,https://www.curseforge.com/minecraft/mc-mods/titanium
true,4711316,ToastControl-1.20.1-8.0.3.jar,https://www.curseforge.com/minecraft/mc-mods/toast-control/files/4711316,1.20.1,3929072,ToastControl-1.18.2-6.0.3.jar,271740,,Toast Control,https://www.curseforge.com/minecraft/mc-mods/toast-control
true,4580717,Barsita-1.20-1.1.2.jar,https://www.curseforge.com/minecraft/mc-mods/barista/files/4580717,1.20.1,3767343,Barsita-1.18.2-1.0.2.jar,552324,,Barista - Window Title Editor,https://www.curseforge.com/minecraft/mc-mods/barista
true,4756767,affinity-1.20.1-0.0.1.jar,https://www.curseforge.com/minecraft/mc-mods/affinity-enchantment-forge/files/4756767,1.20.1,4534564,affinity-1.18.2-0.0.3.jar,663096,,Affinity Enchantment [FORGE],https://www.curseforge.com/minecraft/mc-mods/affinity-enchantment-forge
true,7499810,ftb-teams-forge-2001.3.2.jar,https://www.curseforge.com/minecraft/mc-mods/ftb-teams-forge/files/7499810,1.20.1,4579981,ftb-teams-forge-1802.2.11-build.107.jar,404468,,FTB Teams (NeoForge),https://www.curseforge.com/minecraft/mc-mods/ftb-teams-forge
true,4600191,cosmeticarmorreworked-1.20.1-v1a.jar,https://www.curseforge.com/minecraft/mc-mods/cosmetic-armor-reworked/files/4600191,1.20.1,4016730,CosmeticArmorReworked-1.18.2-v2a.jar,237307,,Cosmetic Armor Reworked,https://www.curseforge.com/minecraft/mc-mods/cosmetic-armor-reworked
true,7251206,ae2wtlib-15.3.3-forge.jar,https://www.curseforge.com/minecraft/mc-mods/applied-energistics-2-wireless-terminals/files/7251206,1.20.1,4071160,AE2WTLib-11.6.3.jar,459929,,Applied Energistics 2 Wireless Terminals,https://www.curseforge.com/minecraft/mc-mods/applied-energistics-2-wireless-terminals
true,4845083,creativecrafter-1.20.1-1.1.jar,https://www.curseforge.com/minecraft/mc-mods/creative-crafter/files/4845083,1.20.1,4318766,creativecrafter-1.18.2-1.0.jar,461245,,Creative Crafter,https://www.curseforge.com/minecraft/mc-mods/creative-crafter
true,5704248,tinyredstone-1.20-5.0.3.jar,https://www.curseforge.com/minecraft/mc-mods/tiny-redstone/files/5704248,1.20.1,4410856,tinyredstone-1.18.2-3.2.7.jar,453746,,Tiny Redstone,https://www.curseforge.com/minecraft/mc-mods/tiny-redstone
true,7529230,ftbquestlocalizer-1.20.1-forge-3.2.3.jar,https://www.curseforge.com/minecraft/mc-mods/ftb-quest-localizer/files/7529230,1.20.1,7529217,ftbquestlocalizer-1.18.2-forge-3.2.3.jar,1071737,,FTB Quest Localizer,https://www.curseforge.com/minecraft/mc-mods/ftb-quest-localizer
true,6994481,StorageDrawers-forge-1.20.1-12.14.3.jar,https://www.curseforge.com/minecraft/mc-mods/storage-drawers/files/6994481,1.20.1,3807626,StorageDrawers-1.18.2-10.2.1.jar,223852,,Storage Drawers,https://www.curseforge.com/minecraft/mc-mods/storage-drawers
true,5292573,EnderStorage-1.20.1-2.11.0.188-universal.jar,https://www.curseforge.com/minecraft/mc-mods/ender-storage-1-8/files/5292573,1.20.1,3951068,EnderStorage-1.18.2-2.9.0.182-universal.jar,245174,,Ender Storage 1.8.+,https://www.curseforge.com/minecraft/mc-mods/ender-storage-1-8
true,6552915,MekanismTools-1.20.1-10.4.16.80.jar,https://www.curseforge.com/minecraft/mc-mods/mekanism-tools/files/6552915,1.20.1,3875979,MekanismTools-1.18.2-10.2.5.465.jar,268567,,Mekanism Tools,https://www.curseforge.com/minecraft/mc-mods/mekanism-tools
true,8256186,rftoolsbuilder-1.20-6.0.9.jar,https://www.curseforge.com/minecraft/mc-mods/rftools-builder/files/8256186,1.20.1,4515002,rftoolsbuilder-1.18-4.1.3.jar,347706,,RFTools Builder,https://www.curseforge.com/minecraft/mc-mods/rftools-builder
