dependencies,display_names,file,loader_range,mc_ranges,mod_ids,sha1,versions
"minecraft@[1.18.2,1.19);forge@[40.1.76,);cofh_core@[9.2,9.3];thermal@[9.2,9.3];thermal_foundation@[9.2,9.3]",Thermal Cultivation,thermal_cultivation-1.18.2-9.2.0.16.jar,"[34,)","[1.18.2,1.19)",thermal_cultivation;minecraft;forge;cofh_core;thermal;thermal_foundation,443f9476cb43ef228914a98ede0eb33bc2f03f3d,${file.jarVersion}
"minecraft@[1.18.2,1.19);forge@[40.1.76,);cofh_core@[9.2,9.3];thermal@[9.2,9.3];thermal_foundation@[9.2,9.3]",Thermal Expansion,thermal_expansion-1.18.2-9.2.0.20.jar,"[34,)","[1.18.2,1.19)",thermal_expansion;minecraft;forge;cofh_core;thermal;thermal_foundation,ee08840c9b8b2b39570bc4b718e8646bbd82f5ec,${file.jarVersion}
"minecraft@[1.18.2,1.19);forge@[40.1.76,);cofh_core@[9.2,9.3];minecraft@[1.18.2,1.19);forge@[40.1.76,);cofh_core@[9.2,9.3];thermal@[9.2,9.3];crafttweaker@[7.1.2.414,)",Thermal Series;Thermal Foundation,thermal_foundation-1.18.2-9.2.0.46.jar,"[34,)","[1.18.2,1.19);[1.18.2,1.19)",thermal;minecraft;forge;cofh_core;thermal_foundation;minecraft;forge;cofh_core;thermal;crafttweaker,ca4b23178e72da328d266f6ab3136058ea7f7c35,${file.jarVersion};${file.jarVersion}
"minecraft@[1.18.2,1.19);forge@[40.1.76,);cofh_core@[9.2,9.3];thermal@[9.2,9.3];thermal_foundation@[9.2,9.3]",Thermal Innovation,thermal_innovation-1.18.2-9.2.0.17.jar,"[34,)","[1.18.2,1.19)",thermal_innovation;minecraft;forge;cofh_core;thermal;thermal_foundation,4ba469f7febe08bd3dca5d03f95e0c8872987623,${file.jarVersion}
"minecraft@[1.18.2,1.19);forge@[40.1.76,);cofh_core@[9.2,9.3];thermal@[9.2,9.3];thermal_foundation@[9.2,9.3]",Thermal Locomotion,thermal_locomotion-1.18.2-9.2.0.13.jar,"[34,)","[1.18.2,1.19)",thermal_locomotion;minecraft;forge;cofh_core;thermal;thermal_foundation,01ac0432e6f854c596e37c0038ad22c4af2bdfa7,${file.jarVersion}
,Time In A Bottle,time-in-a-bottle-2.1.0-mc1.18.1.jar,"[38,)",,tiab,75481f0016057a365c458c9a0fcf769362cb7e1b,${file.jarVersion}
,Tiny Gates,tinygates-2.1.1.jar,"[37,)",,tinygates,d98d7e1b1b498ef800b71b9911fa3e41bb0e3056,${file.jarVersion}
,Tiny Redstone,tinyredstone-1.18.2-3.2.7.jar,"[37,)",,tinyredstone,d1f214808bbe2006c820709f7604e689cd343bbc,${file.jarVersion}
"forge@[37,)",Titanium,titanium-1.18.2-3.5.9-43.jar,"[37,)",,titanium;forge,0c527c49251777245bbcb8483c592b77cc0e5483,${file.jarVersion}
,Torchmaster,torchmaster-18.2.1.jar,"[28,)",,torchmaster,3790f3ecc1fbd0195fc8ff45ad1c8f3efa50c6a2,${file.jarVersion}
,Trash Cans,trashcans-1.0.18-forge-mc1.18.jar,"[38,)",,trashcans,631880798fe6983a3d03bf28eb554ec893264df1,1.0.18
,TrashSlot,trashslot-forge-1.18.2-11.0.3.jar,"[38,)",,trashslot,97eafc1921165f2f2f992c47df7b049db77f760c,${file.jarVersion}
,Waystones,waystones-forge-1.18.2-10.2.1.jar,"[40,)",,waystones,05500866189bc9b66b54859302adc4936fc74359,${file.jarVersion}
,XNet,xnet-1.18-4.0.9.jar,"[39,)",,xnet,5d6d9cbc2991fbc688e68277867ff373f525fbd5,${file.jarVersion}
